Artist and Title,Streams,Daily
Lenny TavÃ¡rez - EMPELOTICA,"103,427,854","206,673"
Ana Castela - Lua,"103,102,972","109,994"
Taylor Swift - The Albatross,"102,909,677","134,781"
BeyoncÃ© - II MOST WANTED,"102,876,922","106,143"
Rose Villain - COME UN TUONO,"102,656,266","89,597"
Dei V - Rapido,"102,473,358","321,366"
"Yo Yo Honey Singh - Dheere Dheere (From ""Dheere Dheere"")","102,130,226","159,086"
James - Sit Down,"102,002,023","35,484"
Tito Double P - 5-7,"101,805,077",
Peso Pluma - VINO TINTO,"101,755,392","286,069"
David Kushner - Skin and Bones,"101,740,007","185,781"
Angelina Mango - la noia,"101,596,199","87,969"
Lazza - 100 MESSAGGI,"101,375,680","126,449"
Charles Aznavour - Emmenez-moi,"101,220,312","97,791"
HÃ©ctor Lavoe - El Cantante,"100,853,820","55,969"
Luan Pereira - FALTA DE QUÃ?,"100,827,119","143,871"
Taylor Swift - The Bolter,"100,797,168","196,056"
KISS OF LIFE - Sticky,"100,724,366",
Future - We Don't Trust You,"100,704,815","160,775"
Murilo Huff - Dedo do Meio,"100,568,613","115,498"
Los Titanes De Durango - El Enamorado,"100,472,461","64,883"
Charlie Brown Jr. - SÃ³ Por Uma Noite,"100,430,727","57,603"
Conjunto Primavera - Ave Cautiva,"100,389,538","113,908"
Taylor Swift - thanK you aIMee,"100,217,724","116,435"
SEVENTEEN - Home,"100,100,192",
